,Make,Aircraft.damage,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight
0,1,2,1,1,1,9
1,1,3,1,1,2,5
2,1,2,1,1,1,4
3,1,2,1,1,1,8
4,1,2,1,1,2,6
5,1,2,1,1,1,3
6,1,2,2,1,1,9
7,1,3,2,1,1,3
8,1,3,1,1,1,6
9,1,3,1,1,2,7
10,1,3,2,1,2,5
11,1,3,1,1,2,5
12,1,2,1,1,2,5
13,1,3,2,4,2,8
14,1,2,1,1,1,3
15,1,3,1,1,1,7
16,1,3,2,1,2,5
17,1,3,1,1,1,5
18,1,2,1,1,1,8
19,1,2,2,4,2,5
20,1,3,1,1,1,5
21,1,2,2,1,2,8
22,1,2,2,1,1,3
23,1,3,2,1,1,3
24,1,2,1,1,1,9
25,1,2,2,1,2,8
26,1,3,1,1,1,8
27,1,2,1,1,1,4
28,1,3,1,1,1,7
29,1,2,1,1,1,9
30,1,2,2,1,1,9
32,1,2,1,1,1,7
33,1,1,2,1,2,2
34,1,2,2,1,1,9
35,1,2,1,1,1,9
36,1,2,1,1,1,8
37,1,2,2,4,1,9
38,1,3,2,1,1,4
39,1,2,1,1,1,3
40,1,3,2,1,1,5
41,1,2,1,1,2,9
42,1,3,1,1,1,7
43,1,2,1,1,1,2
44,1,2,2,4,1,9
45,1,2,2,1,1,9
46,1,3,2,1,1,5
47,1,2,2,1,1,9
48,1,3,1,1,1,5
49,1,3,1,1,2,5
50,1,3,2,1,1,3
51,1,3,1,1,2,5
52,1,2,1,1,1,9
53,1,3,1,1,1,3
54,1,2,1,1,1,9
56,1,3,2,1,2,4
57,1,2,2,4,1,9
58,1,2,2,1,1,5
59,1,2,1,1,1,5
60,1,2,1,1,1,8
61,1,2,1,1,1,3
62,1,3,1,1,1,1
63,1,2,1,1,1,8
64,1,3,2,1,1,7
66,1,2,2,1,1,5
67,1,3,1,1,1,6
68,1,2,1,1,1,9
69,1,2,1,1,1,9
70,1,2,2,1,1,3
71,1,2,1,1,1,3
72,1,2,2,4,2,9
73,1,3,1,1,1,3
74,1,3,2,1,1,4
75,1,2,1,1,1,5
76,1,2,1,1,1,5
77,1,2,1,1,1,8
78,1,2,1,1,1,5
79,1,2,1,1,1,9
80,1,2,1,1,1,5
81,1,2,2,1,1,9
82,1,3,2,4,1,5
83,1,3,1,1,2,6
84,1,2,1,1,1,6
85,1,2,1,1,1,5
86,1,2,1,1,1,3
87,1,2,1,1,1,2
88,1,3,1,1,1,5
89,1,3,2,1,1,5
90,1,2,1,1,1,9
91,1,3,1,1,1,5
92,1,3,1,1,1,9
93,1,3,1,1,2,5
94,1,2,1,1,1,3
95,1,2,1,1,1,9
96,1,2,2,1,2,9
97,1,2,2,1,1,9
98,1,3,2,1,2,10
99,1,2,1,1,1,8
100,1,2,2,1,1,4
101,1,2,2,4,1,3
102,1,2,1,1,1,9
103,1,2,1,1,1,9
104,1,3,1,1,1,3
105,1,2,1,1,1,8
106,1,2,1,1,1,10
107,1,2,1,1,1,8
108,1,3,2,1,1,9
109,1,2,1,1,1,9
110,1,3,1,1,1,6
