,Day,Month,Year,Make,Aircraft.damage,Aircraft.Category,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight,Fatal,Injured,Uninjured,Fatal.Cat,Fatal.Count,Latitude,Longitude
0,1,1,1982,BEECH,Substantial,,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
1,2,1,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0
2,6,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Climb,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0
3,7,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
4,12,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,IMC,Descent,0.0,1.0,1.0,Non-Fatal,0,0.0,0.0
5,13,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0
6,15,1,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
7,17,1,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,2.0,0.0,0.0,Fatal,2,0.0,0.0
8,18,1,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Descent,0.0,4.0,0.0,Non-Fatal,0,0.0,0.0
9,19,1,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Maneuvering,2.0,0.0,0.0,Fatal,2,0.0,0.0
10,20,1,1982,BEECH,Destroyed,Airplane,2,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0
11,23,1,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,1.0,0.0,0.0,Fatal,1,0.0,0.0
12,31,1,1982,BEECH,Substantial,Airplane,1,Reciprocating,IMC,Cruise,0.0,1.0,1.0,Non-Fatal,0,0.0,0.0
13,1,2,1982,BEECH,Destroyed,Airplane,2,Turbo Prop,IMC,Approach,0.0,7.0,0.0,Non-Fatal,0,0.0,0.0
14,8,2,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
15,9,2,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Maneuvering,1.0,0.0,0.0,Fatal,1,0.0,0.0
16,10,2,1982,BEECH,Destroyed,Airplane,2,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0
17,13,2,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Cruise,4.0,0.0,0.0,Fatal,4,0.0,0.0
18,15,2,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
19,16,2,1982,BEECH,Substantial,Airplane,2,Turbo Prop,IMC,Cruise,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0
20,18,2,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Cruise,1.0,0.0,0.0,Fatal,1,0.0,0.0
21,19,2,1982,BEECH,Substantial,Airplane,2,Reciprocating,IMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
22,20,2,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
23,24,2,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,1.0,0.0,0.0,Fatal,1,0.0,0.0
24,25,2,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
25,25,2,1982,BEECH,Substantial,Airplane,2,Reciprocating,IMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
26,27,2,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Approach,1.0,0.0,0.0,Fatal,1,0.0,0.0
27,2,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Climb,0.0,1.0,3.0,Non-Fatal,0,0.0,0.0
28,4,3,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Maneuvering,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
29,5,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
30,5,3,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
31,9,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Maneuvering,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
32,11,3,1982,BEECH,Minor,Airplane,2,Reciprocating,IMC,Taxi,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
33,11,3,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
34,12,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
35,12,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
36,13,3,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Landing,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0
37,14,3,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Climb,1.0,0.0,0.0,Fatal,1,0.0,0.0
38,14,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,1.0,1.0,Non-Fatal,0,0.0,0.0
39,16,3,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Cruise,1.0,0.0,0.0,Fatal,1,0.0,0.0
40,16,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,IMC,Landing,1.0,0.0,0.0,Fatal,1,30.757778,-88.355555
41,19,3,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Maneuvering,3.0,0.0,0.0,Fatal,3,0.0,0.0
42,20,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Taxi,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0
43,23,3,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
44,25,3,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,1.0,3.0,Non-Fatal,0,0.0,0.0
45,26,3,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Cruise,6.0,0.0,0.0,Fatal,6,0.0,0.0
46,27,3,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
47,30,3,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0
48,2,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,4.0,0.0,0.0,Fatal,4,0.0,0.0
49,3,4,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
50,3,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0
51,3,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
52,4,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Takeoff,3.0,1.0,0.0,Fatal,3,0.0,0.0
53,4,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
54,6,4,1982,BEECH,Destroyed,Airplane,2,Reciprocating,IMC,Climb,2.0,0.0,0.0,Fatal,2,0.0,0.0
55,7,4,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
56,8,4,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Cruise,0.0,0.0,9.0,Non-Fatal,0,0.0,0.0
57,16,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0
58,17,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
59,17,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,1.0,1.0,Non-Fatal,0,0.0,0.0
60,18,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Standing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
61,18,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
62,21,4,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Maneuvering,1.0,0.0,0.0,Fatal,1,0.0,0.0
63,23,4,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Cruise,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
64,24,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Descent,1.0,0.0,0.0,Fatal,1,0.0,0.0
65,24,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
66,24,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
67,25,4,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0
68,25,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,4.0,0.0,Non-Fatal,0,0.0,0.0
69,26,4,1982,BEECH,Substantial,Airplane,2,Turbo Prop,IMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
70,27,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Takeoff,2.0,0.0,0.0,Fatal,2,0.0,0.0
71,28,4,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Climb,2.0,0.0,0.0,Fatal,2,0.0,0.0
72,28,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0
73,29,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
74,1,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,2.0,1.0,Non-Fatal,0,0.0,0.0
75,1,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0
76,2,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0
77,2,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,1.0,2.0,Non-Fatal,0,0.0,0.0
