,Make,Aircraft.damage,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight
0,1,2,1,1,1,9
1,1,3,1,1,2,5
2,1,2,1,1,1,4
3,1,2,1,1,1,8
4,1,2,1,1,2,6
5,1,2,1,1,1,3
6,1,2,2,1,1,9
7,1,3,2,1,1,3
8,1,3,1,1,1,6
9,1,3,1,1,2,7
10,1,3,2,1,2,5
11,1,3,1,1,2,5
12,1,2,1,1,2,5
13,1,3,2,4,2,8
14,1,2,1,1,1,3
15,1,3,1,1,1,7
16,1,3,2,1,2,5
17,1,3,1,1,1,5
18,1,2,1,1,1,8
19,1,2,2,4,2,5
20,1,3,1,1,1,5
21,1,2,2,1,2,8
22,1,2,2,1,1,3
23,1,3,2,1,1,3
24,1,2,1,1,1,9
25,1,2,2,1,2,8
26,1,3,1,1,1,8
27,1,2,1,1,1,4
28,1,3,1,1,1,7
29,1,2,1,1,1,9
30,1,2,2,1,1,9
31,1,2,1,1,1,7
32,1,1,2,1,2,2
33,1,2,2,1,1,9
34,1,2,1,1,1,9
35,1,2,1,1,1,8
36,1,2,2,4,1,9
37,1,3,2,1,1,4
38,1,2,1,1,1,3
39,1,3,2,1,1,5
40,1,2,1,1,2,9
41,1,3,1,1,1,7
42,1,2,1,1,1,2
43,1,2,2,4,1,9
44,1,2,2,1,1,9
45,1,3,2,1,1,5
46,1,2,2,1,1,9
47,1,3,1,1,1,5
48,1,3,1,1,2,5
49,1,3,2,1,1,3
50,1,3,1,1,2,5
51,1,2,1,1,1,9
52,1,3,1,1,1,3
53,1,2,1,1,1,9
54,1,3,2,1,2,4
55,1,2,2,4,1,9
56,1,2,2,1,1,5
57,1,2,1,1,1,5
58,1,2,1,1,1,8
59,1,2,1,1,1,3
60,1,3,1,1,1,1
61,1,2,1,1,1,8
62,1,3,2,1,1,7
63,1,2,2,1,1,5
64,1,3,1,1,1,6
65,1,2,1,1,1,9
66,1,2,1,1,1,9
67,1,2,2,1,1,3
68,1,2,1,1,1,3
69,1,2,2,4,2,9
70,1,3,1,1,1,3
71,1,3,2,1,1,4
72,1,2,1,1,1,5
73,1,2,1,1,1,5
74,1,2,1,1,1,8
75,1,2,1,1,1,5
76,1,2,1,1,1,9
77,1,2,1,1,1,5
78,1,2,2,1,1,9
79,1,3,2,4,1,5
80,1,3,1,1,2,6
81,1,2,1,1,1,6
82,1,2,1,1,1,5
83,1,2,1,1,1,3
84,1,2,1,1,1,2
85,1,3,1,1,1,5
86,1,3,2,1,1,5
87,1,2,1,1,1,9
88,1,3,1,1,1,5
89,1,3,1,1,1,9
90,1,3,1,1,2,5
91,1,2,1,1,1,3
92,1,2,1,1,1,9
93,1,2,2,1,2,9
94,1,2,2,1,1,9
95,1,3,2,1,2,10
96,1,2,1,1,1,8
97,1,2,2,1,1,4
98,1,2,2,4,1,3
99,1,2,1,1,1,9
100,1,2,1,1,1,9
101,1,3,1,1,1,3
102,1,2,1,1,1,8
103,1,2,1,1,1,10
104,1,2,1,1,1,8
105,1,3,2,1,1,9
106,1,2,1,1,1,9
107,1,3,1,1,1,6
