,Latitude,Longitude
41,30.757778,-88.355555
2941,33.7825,-83.692777
2963,40.820556,-76.863889
2965,33.866667,-117.966667
2974,35.666667,-117.666667
2981,34.265278,-110.005556
2987,41.078056,-74.346666
2999,34.747777,-90.081111
3006,34.7925,-116.485833
3013,28.22,-82.623334
3026,36.828334,-121.576389
3029,35.585,-83.408889
3032,36.612778,-121.871111
3035,37.989722,-122.056944
3039,60.766667,-161.841111
3046,37.333333,-79.2
3047,32.960833,-109.225556
3052,44.883333,-70.638889
3053,35.038611,-106.603889
3055,26.1525,-81.775556
3057,40.683333,-112.35
3059,36.13,-86.653889
3061,39.746666,-104.25
3062,38.009722,-77.97
3063,34.917778,-91.281389
3066,42.585277,-99.985
3070,38.954722,-121.082223
3072,31.619167,-80.909722
3073,41.146389,-114.031389
3074,43.400833,-101.175834
3076,39.122778,-109.8575
3078,43.386389,-110.528334
3079,33.875556,-117.966667
3082,32.191666,-81.873334
3083,39.493889,-101.301389
3084,43.949166,-88.558056
3085,41.523611,-71.283056
3087,38.463889,-107.174723
3088,38.893889,-119.995277
3090,35.086944,-103.353611
3092,40.809444,-73.086389
3093,32.995555,-116.659167
3094,36.211667,-115.195555
3095,39.994444,-75.583333
3101,26.067223,-80.15
3103,32.838333,-116.908889
3105,61.454444,-144.995555
3107,37.154167,-94.434722
3109,44.826667,-93.456667
3113,33.305,-81.108889
3115,43.397222,-70.472223
3116,30.277778,-81.805833
3118,39.646944,-83.854722
3120,42.991944,-104.363611
3121,38.754722,-109.754722
3124,40.745555,-122.921945
3125,32.965833,-82.836389
3126,32.980556,-112.239722
3127,32.931111,-97.411667
3128,34.850556,-84.011667
3129,29.622223,-95.656389
3130,40.168611,-84.301389
3131,44.320556,-69.797222
3132,30.247222,-81.680556
3139,33.326389,-83.389166
3141,42.7225,-71.426945
3143,32.357222,-97.166945
3146,30.407222,-89.07
3148,33.3,-86.3
3152,36.475,-108.796666
3153,33.948333,-83.326111
3157,26.333333,-80.716667
3160,41.522223,-70.564444
3161,33.636666,-95.450556
3162,35.972778,-115.134444
3163,35.138611,-111.671111
3164,36.359722,-82.312778
3165,34.934166,-104.634166
3166,32.285833,-86.366945
3167,35.259444,-113.938055
3169,32.963611,-91.418056
3170,41.635555,-85.094444
3172,28.035277,-97.549722
3174,37.377778,-79.122223
3176,47.150556,-119.503333
3178,40.466111,-111.720278
3179,41.391111,-72.508889
3180,33.681667,-117.869167
3181,36,-119
3183,33.622778,-92.763333
3184,38.929723,-81.819445
3186,37.3625,-121.928889
3187,33.818334,-118.152778
3188,48.456667,-122.539166
3189,30.180278,-97.650278
3190,31.619167,-96.502778
3192,39.470278,-119.768611
3193,30.454722,-88.210556
3194,35.219167,-101.705833
3195,38.675,-121.444444
3196,31.666389,-94.711111
3198,32.643055,-93.298333
3199,38.006667,-77.968611
3200,36.151389,-81.615278
3201,58.358333,-134.582778
3202,39.535555,-122.318889
3204,35.790833,-120.993611
3205,35.047222,-78.14
3206,39.175278,-76.668334
3207,41.535,-87.529445
3208,41.518056,-81.683333
3209,38.252222,-77.091944
3210,32.215278,-98.1775
3211,34.798055,-90.053611
3212,36.178334,-79.805
3213,39.383333,-77.966667
3214,33.880278,-78.925
3215,34.729445,-92.224167
3216,40.721111,-104.210556
3218,39.1225,-108.526667
3220,34.6575,-112.421667
3221,36.73,-92.5575
3222,34.73,-112.035
3223,46.569167,-120.533333
3224,43.800278,-115.135555
3225,36.198333,-95.888055
3226,36.741389,-108.23
3227,39.908611,-105.116945
3228,30.533056,-91.149722
3229,38.490833,-108.026389
3230,27.074723,-82.445
3232,37.302778,-108.628056
3233,34.873334,-109.3275
3234,34.558333,-119.468611
3235,34.558333,-119.468889
3236,33.441389,-103.604444
3237,41.94,-83.434722
3238,42.775,-70.808333
3239,32.850556,-86.616667
3240,33.45,-111.716667
3241,33.881667,-84.303333
3242,34.518611,-109.378889
3243,40.033889,-79.806111
3244,42.072223,-70.221111
3245,40.467778,-88.912778
3247,39.651667,-77.971945
3248,40.354167,-79.93
3249,33.415278,-118.415556
3250,43.531945,-112.083611
3251,38.195,-90.385555
3252,26.197222,-80.170556
3253,44.858889,-117.093889
3254,35.850278,-87.429445
3255,43.581389,-116.527223
3257,36.336111,-84.125278
3258,33.183333,-81.2
3259,39.914722,-105.1175
3260,32.334722,-90.2225
3261,36.000833,-112.55
3262,38.796666,-108.052222
3264,33.128334,-117.280278
3265,29.372778,-100.925834
3266,37.538333,-113.516945
3267,41.5175,-81.683333
